Code Smell,Project,Package,Class,Method,Method,Class,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,SoundBank,"PlayCue(string name, AudioListener listener, AudioEmitter emitter)",Update(),AudioEngine,0,3,2,2,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,SoundBank,PlayCue(string name),"AdpcmImaWavExpandNibble(ref ImaState channel, int nibble)",AudioLoader,0,1,2,2,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,XactSound,"Play(float volume, AudioEngine engine)","ConvertMsAdpcmToPcm(byte[] buffer, int offset, int count, int channels, int blockAlignment)",AudioLoader,0,2,2,2,3,7,16
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,XactSound,SetCuePan(float pan),"LoadWave(BinaryReader reader, out ALFormatformat, out int frequency, out int channels, out int blockAlignment, out int bitsPerSample, out int samplesPerBlock, out int sampleCount)",AudioLoader,0,1,2,2,0,7,16
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,XactSound,Update(float dt),Play(),Cue,0,1,2,2,0,7,16
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,XactSound,UpdateCategoryVolume(float categoryVolume),"BindDataBuffer(byte[] dataBuffer, ALFormat format, int size, int sampleRate, int sampleAlignment = 0)",OALSoundBuffer,0,1,2,2,0,7,16
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,BasicEffectReader,"Read(ContentReader input, BasicEffect existingInstance)",CleanUpOpenAL(),OpenALSoundController,0,2,2,2,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,ContentReader,ReadSharedResource(Action<T> fixup),OpenSoundController(),OpenALSoundController,0,1,2,2,1,8,6
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,CurveReader,"Read(ContentReader input, Curve existingInstance)",Stop(),PlayWaveEvent,0,2,3,2.111111111111111,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,LzxDecoder,"ReadHuffSym(ushort[] table, byte[] lengths, uint nsyms, uint nbits, BitBuffer bitbuf)",GetCue(string name),SoundBank,0,5,2,2,0,1,1
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,LzxDecoder,"ReadLengths(byte[] lens, uint first, uint last, BitBuffer bitbuf)","PlayCue(string name, AudioListener listener,AudioEmitter emitter)",SoundBank,0,4,2,2,3,1,1
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,MatrixReader,"Read(ContentReader input, Matrix existingInstance)",PlayCue(string name),SoundBank,0,2,2,2,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,ModelReader,"ReadBoneReference(ContentReader reader, uint boneCount)","Play(float volume, AudioEngine engine)",XactSound,0,2,2,2,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,ReflectiveReader,"Read(ContentReader input, object existingInstance)",SetCuePan(float pan),XactSound,0,2,2,2,0,3,3
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,SoundEffectReader,"Read(ContentReader input, SoundEffect existingInstance)",Update(float dt),XactSound,0,2,3,2.2222222222222223,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,Texture2DReader,"Read(ContentReader reader, Texture2D existingInstance)",UpdateCategoryVolume(float categoryVolume),XactSound,0,2,4,2.121212121212121,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,Texture3DReader,"Read(ContentReader reader, Texture3D existingInstance)","Read(ContentReader input, BasicEffect existingInstance)",BasicEffectReader,0,2,3,2.1333333333333333,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,VideoReader,"Read(ContentReader input, Video existingInstance)",ReadSharedResource(Action<T> fixup),ContentReader,0,2,2,2,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Design,VectorConversion,"CanConvertTo(ITypeDescriptorContext context, Type destinationType)","Read(ContentReader input, Curve existingInstance)",CurveReader,0,2,2,2,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,DxtUtil,"DecompressDxt1Block(BinaryReader imageReader, int x, int y, int blockCountX, int width, int height, byte[] imageData)","ReadHuffSym(ushort[] table, byte[] lengths, uint nsyms, uint nbits, BitBuffer bitbuf)",LzxDecoder,0,7,2,2,2,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,DxtUtil,"DecompressDxt5Block(BinaryReader imageReader, int x, int y, int blockCountX, int width, int height, byte[] imageData)","ReadLengths(byte[] lens, uint first, uintlast, BitBuffer bitbuf)",LzxDecoder,0,7,2,2,2,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,Effect,ReadEffect(BinaryReader reader),"Read(ContentReader input, Matrix existingInstance)",MatrixReader,0,1,2,2,3,1,2
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,Effect,ReadParameters(BinaryReader reader),"ReadBoneReference(ContentReader reader, uint boneCount)",ModelReader,0,1,2,2,3,1,2
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,Effect,"ReadPasses(BinaryReader reader, Effect effect, Shader[] shaders)","Read(ContentReader input, object existingInstance)",ReflectiveReader,0,3,2,2,1,1,2
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,GetDataValueString(),"Read(ContentReader input, SoundEffect existingInstance)",SoundEffectReader,0,0,2,2,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,GetValueVector3Array(),"Read(ContentReader reader, Texture2DexistingInstance)",Texture2DReader,0,0,2,2,1,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,GetValueVector4Array(),"Read(ContentReader reader, Texture3DexistingInstance)",Texture3DReader,0,0,2,2,1,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,SetValue(bool value),"Read(ContentReader input, Video existingInstance)",VideoReader,0,1,0,0,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,SetValue(int value),"CanConvertTo(ITypeDescriptorContext context, Type destinationType)",VectorConversion,0,1,0,0,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,SetValue(int[] value),"DecompressDxt1Block(BinaryReader imageReader, int x, int y, int blockCountX, int width, int height, byte[] imageData)",DxtUtil,0,1,2,2,1,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,SetValue(Matrix value),"DecompressDxt5Block(BinaryReader imageReader, int x, int y, int blockCountX, int width, int height, byte[] imageData)",DxtUtil,0,1,0,0,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,SetValue(Matrix[] value),ReadEffect(BinaryReader reader),Effect,0,1,0,0,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,SetValue(Quaternion value),ReadParameters(BinaryReader reader),Effect,0,1,0,0,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,SetValue(Single value),"ReadPasses(BinaryReader reader, Effect effect, Shader[] shaders)",Effect,0,1,0,0,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,SetValue(Single[] value),GetDataValueString(),EffectParameter,0,1,2,2,1,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,SetValue(Texture value),GetValueVector3Array(),EffectParameter,0,1,0,0,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,SetValue(Vector2 value),GetValueVector4Array(),EffectParameter,0,1,0,0,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,SetValue(Vector2[] value),SetValue(Matrix value),EffectParameter,0,1,2,2,1,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,SetValue(Vector3 value),SetValue(Texture value),EffectParameter,0,1,0,0,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,SetValue(Vector3[] value),SetValueTranspose(Matrix value),EffectParameter,0,1,2,2,1,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,SetValue(Vector4 value),IsProfileSupported(GraphicsProfile graphicsProfile),GraphicsAdapter,0,1,0,0,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,SetValue(Vector4[] value),GetSize(this SurfaceFormat surfaceFormat),GraphicsExtensions,0,1,2,2,1,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,EffectParameter,SetValueTranspose(Matrix value),IsCompressedFormat(this SurfaceFormat format),GraphicsExtensions,0,1,0,0,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,GraphicsAdapter,IsProfileSupported(GraphicsProfile graphicsProfile),"BuildHierarchy(ModelBone node, Matrix parentTransform, int level)",Model,0,1,0,0,0,3,3
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,GraphicsExtensions,GetSize(this SurfaceFormat surfaceFormat),OnApply(),SkinnedEffect,0,1,0,0,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,GraphicsExtensions,GetSize(this VertexElementFormat elementFormat),"Draw(Texture2D texture, Rectangle destinationRectangle, Color color)",SpriteBatch,0,1,0,0,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,GraphicsExtensions,IsCompressedFormat(this SurfaceFormat format),"DrawString(SpriteFont spriteFont, StringBuilder text, Vector2 position, Color color)",SpriteBatch,0,1,0,0,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,Model,BuildHierarchy(),"DrawBatch(SpriteSortMode sortMode, Effect effect)",SpriteBatcher,0,0,2,2,1,1,2
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,Model,"BuildHierarchy(ModelBone node, Matrix parentTransform, int level)","FlushVertexArray(int start, int end, Effect effect, Texture texture)",SpriteBatcher,0,3,0,0,0,1,2
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SkinnedEffect,OnApply(),"Set(float x, float y, float dx, float dy, float w, float h, float sin, float cos, Color color, Vector2 texCoordTL, Vector2 texCoordBR, float depth)",SpriteBatchItem,0,0,2,2,0,30,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatch,"Draw(Texture2D texture, Rectangle destinationRectangle, Color color)","MeasureString(ref CharacterSource text, out Vector2 size)",SpriteFont,0,3,2,2,2,11,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatch,"Draw(Texture2D texture, Rectangle destinationRectangle, Rectangle? sourceRectangle, Color color, float rotation, Vector2 origin, SpriteEffects effects, float layerDepth)",GetState(),TouchPanelState,0,8,2,2,2,11,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatch,"Draw(Texture2D texture, Rectangle destinationRectangle, Rectangle? sourceRectangle, Color color)",ProcessTap(TouchLocation touch),TouchPanelState,0,4,2,2,2,11,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatch,"Draw(Texture2D texture, Vector2 position, Color color)",ReleaseAllTouches(),TouchPanelState,0,3,2,2,2,11,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatch,"Draw(Texture2D texture, Vector2 position, Rectangle? sourceRectangle, Color color, float rotation, Vector2 origin, float scale, SpriteEffects effects, float layerDepth)","Adler32(uint adler, byte[] buf, int index, int len)",Adler,0,9,0,0,1,11,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatch,"Draw(Texture2D texture, Vector2 position, Rectangle? sourceRectangle, Color color, float rotation, Vector2 origin, Vector2 scale, SpriteEffects effects, float layerDepth)","GetCrc32AndCopy(System.IO.Stream input, System.IO.Stream output)",CRC32,0,9,2,2,2,11,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatch,"Draw(Texture2D texture, Vector2 position, Rectangle? sourceRectangle, Color color)","SlurpBlock(byte[] block, int offset, int count)",CRC32,0,4,2,2,2,11,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatch,"DrawString(SpriteFont spriteFont, string text, Vector2 position, Color color, float rotation, Vector2 origin, float scale, SpriteEffects effects, float layerDepth)",UpdateCRC(byte b),CRC32,0,9,0,0,1,11,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatch,"DrawString(SpriteFont spriteFont, string text, Vector2 position, Color color, float rotation, Vector2 origin, Vector2 scale, SpriteEffects effects, float layerDepth)",_InitializeTreeData(),DeflateManager,0,9,2,2,2,11,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatch,"DrawString(SpriteFont spriteFont, string text, Vector2 position, Color color)",bi_flush(),DeflateManager,0,4,2,2,2,11,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatch,"DrawString(SpriteFont spriteFont, StringBuilder text, Vector2 position, Color color, float rotation, Vector2 origin, float scale, SpriteEffects effects, float layerDepth)",build_bl_tree(),DeflateManager,0,9,0,0,1,11,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatch,"DrawString(SpriteFont spriteFont, StringBuilder text, Vector2 position, Color color, float rotation, Vector2 origin, Vector2 scale, SpriteEffects effects, float layerDepth)",DeflateFast(FlushType flush),DeflateManager,0,9,2,2,2,11,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatch,"DrawString(SpriteFont spriteFont, StringBuilder text, Vector2 position, Color color)",DeflateSlow(FlushType flush),DeflateManager,0,4,2,2,2,11,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatcher,"DrawBatch(SpriteSortMode sortMode, Effect effect)",Reset(),DeflateManager,0,2,2,2,2,4,8
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatcher,"FlushVertexArray(int start, int end, Effect effect, Texture texture)","send_bits(int value, int length)",DeflateManager,0,4,2,2,0,4,8
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatchItem,"Set(float x, float y, float dx, float dy, float w, float h, float sin, float cos, Color color, Vector2 texCoordTL, Vector2 texCoordBR, float depth)","send_compressed_block(short[] ltree, short[] dtree)",DeflateManager,0,12,0,0,0,6,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteBatchItem,"Set(float x, float y, float w, float h, Color color, Vector2 texCoordTL, Vector2 texCoordBR, float depth)","send_tree(short[] tree, int max_code)",DeflateManager,0,8,0,0,0,6,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteFont,"MeasureString(ref CharacterSource text, out Vector2 size)",set_data_type(),DeflateManager,0,2,2,2,1,2,5
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteFont,MeasureString(string text),SetDictionary(byte[] dictionary),DeflateManager,0,1,0,0,1,2,5
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Graphics,SpriteFont,MeasureString(StringBuilder text),"SetParams(CompressionLevel level, CompressionStrategy strategy)",DeflateManager,0,1,0,0,1,2,5
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Input.Touch,TouchPanelState,GetState(),"Write(byte[] buffer, int offset, int count)",GZipStream,0,0,2,2,1,9,12
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Input.Touch,TouchPanelState,ProcessTap(TouchLocation touch),ComputeHash(Stream stream),Hash,0,1,2,2,1,9,12
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Input.Touch,TouchPanelState,ReleaseAllTouches(),"Process(InflateBlocks blocks, int r)",InflateCodes,0,0,2,2,2,9,12
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,Adler,"Adler32(uint adler, byte[] buf, int index, int len)",Inflate(FlushType flush),InflateManager,0,4,0,0,0,0,2
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,CRC32,"GetCrc32AndCopy(System.IO.Stream input, System.IO.Stream output)","Initialize(ZlibCodec codec, int w)",InflateManager,0,2,2,2,1,5,6
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,CRC32,"SlurpBlock(byte[] block, int offset, int count)",SetDictionary(byte[] dictionary),InflateManager,0,3,0,0,0,5,6
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,CRC32,"UpdateCRC(byte b, int n)","inflate_trees_dynamic(int nl, int nd, int[] c, int[] bl, int[] bd, int[] tl, int[] td, int[] hp, ZlibCodec z)",InfTree,0,2,0,0,0,5,6
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,CRC32,UpdateCRC(byte b),"GetBytesWithoutFallback(char[] chars, int charIndex, int charCount, byte[] bytes, int byteIndex)",Iso88591Encoding,0,1,0,0,0,5,6
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,DeflateManager,_InitializeTreeData(),"Decompress(Stream stream, int decompressedSize, int compressedSize)",LzxDecoderStream,0,0,0,0,1,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,DeflateManager,bi_flush(),"gen_codes(short[] tree, int max_code, short[] bl_count)",Tree,0,0,0,0,0,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,DeflateManager,build_bl_tree(),ReadZeroTerminatedString(),ZlibBaseStream,0,0,2,2,2,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,DeflateManager,DeflateFast(FlushType flush),flush_pending(),ZlibCodec,0,1,0,0,4,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,DeflateManager,DeflateSlow(FlushType flush),"Adler32(uint adler, byte[] buf, int index, int len)",Adler,0,1,0,0,5,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,DeflateManager,Reset(),"Combine(int crc, int length)",CRC32,0,0,2,2,2,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,DeflateManager,"send_bits(int value, int length)","SlurpBlock(byte[] block, int offset, int count)",CRC32,0,2,0,0,0,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,DeflateManager,"send_compressed_block(short[] ltree, short[] dtree)","UpdateCRC(byte b, int n)",CRC32,0,2,2,2,5,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,DeflateManager,"send_tree(short[] tree, int max_code)","_tr_flush_block(int buf, int stored_len, bool eof)",DeflateManager,0,2,0,0,5,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,DeflateManager,set_data_type(),bi_flush(),DeflateManager,0,0,0,0,0,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,DeflateManager,SetDictionary(byte[] dictionary),build_bl_tree(),DeflateManager,0,1,2,2,0,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,DeflateManager,"SetParams(CompressionLevel level, CompressionStrategy strategy)","copy_block(int buf, int len, bool header)",DeflateManager,0,2,2,2,1,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,GZipStream,"Write(byte[] buffer, int offset, int count)",longest_match(int cur_match),DeflateManager,0,3,2,2,1,8,1
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,Hash,ComputeHash(params byte[] data),"pqdownheap(short[] tree, int k)",DeflateManager,0,1,0,0,0,0,0
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,Hash,ComputeHash(Stream stream),"scan_tree(short[] tree, int max_code)",DeflateManager,0,1,4,3,0,0,0
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,InflateCodes,"Process(InflateBlocks blocks, int r)",set_data_type(),DeflateManager,0,2,2,2,1,14,10
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,InflateManager,Inflate(FlushType flush),SetDictionary(byte[] dictionary),DeflateManager,0,1,2,2,0,9,5
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,InflateManager,"Initialize(ZlibCodec codec, int w)","SetParams(CompressionLevel level, CompressionStrategy strategy)",DeflateManager,0,2,0,0,2,9,5
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,InflateManager,SetDictionary(byte[] dictionary),Process(int r),InflateBlocks,0,1,2,2,0,9,5
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,InfTree,"inflate_trees_dynamic(int nl, int nd, int[] c, int[] bl, int[] bd, int[] tl, int[] td, int[] hp, ZlibCodec z)","InflateFast(int bl, int bd, int[] tl, int tl_index, int[] td, int td_index, InflateBlocks s, ZlibCodec z)",InflateCodes,0,9,0,0,4,6,10
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,Iso88591Encoding,"GetBytesWithoutFallback(char[] chars, int charIndex, int charCount, byte[] bytes, int byteIndex)",Inflate(FlushType flush),InflateManager,0,5,2,2,0,1,3
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,LzxDecoderStream,"Decompress(Stream stream, int decompressedSize, int compressedSize)",Sync(),InflateManager,0,3,2,2,0,2,0
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,Tree,"gen_codes(short[] tree, int max_code, short[] bl_count)",Dispose(bool disposing),ZlibBaseStream,0,3,0,0,0,3,2
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,ZlibBaseStream,ReadZeroTerminatedString(),"Read(System.Byte[] buffer, System.Int32 offset, System.Int32 count)",ZlibBaseStream,0,0,3,2.25,0,18,1
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities,ZlibCodec,flush_pending(),"UncompressString(byte[] compressed, Stream decompressor)",ZlibBaseStream,0,0,2,2,0,15,0
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,Adler,"Adler32(uint adler, byte[] buf, int index, int len)",flush_pending(),ZlibCodec,0,4,0,0,0,0,2
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,CRC32,"Combine(int crc, int length)",GetNativeLibrary(),AL,0,2,0,0,6,5,6
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,CRC32,"SlurpBlock(byte[] block, int offset, int count)",Execute(),BuildFlatpakTask,0,3,0,0,0,5,6
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,CRC32,"UpdateCRC(byte b, int n)",Bounds(WorldRenderer wr),Actor,0,2,0,0,0,5,6
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,CRC32,UpdateCRC(byte b),MouseBounds(WorldRenderer wr),Actor,0,1,0,0,0,5,6
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,DeflateManager,"_tr_flush_block(int buf, int stored_len, bool eof)",Clone(),ActorReference,0,3,2,2,7,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,DeflateManager,bi_flush(),RemoveAll(),ActorReference,0,0,0,0,0,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,DeflateManager,build_bl_tree(),CopyValuesFrom(CellLayerBase<T> anotherLayer),CellLayer,0,0,2,2,2,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,DeflateManager,"copy_block(int buf, int len, bool header)",EncodePublicKey(RSAParameters parameters),CryptoUtil,0,3,0,0,2,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,DeflateManager,longest_match(int cur_match),FirstEnabledTraitOrDefault(this T[] ts),Exts,0,1,0,0,0,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,DeflateManager,"pqdownheap(short[] tree, int k)","ISqrt(ulong number, ISqrtRoundMode round = ISqrtRoundMode.Floor)",Exts,0,2,0,0,2,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,DeflateManager,"scan_tree(short[] tree, int max_code)","TryGetValueFromYaml(string yamlName, FieldInfo field, Dictionary<string, MiniYaml> md, out object ret)",FieldLoader,0,2,0,0,0,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,DeflateManager,set_data_type(),CreateServer(ServerSettings settings),Game,0,0,0,0,0,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,DeflateManager,SetDictionary(byte[] dictionary),Run(),Game,0,1,2,2,0,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,DeflateManager,"SetParams(CompressionLevel level, CompressionStrategy strategy)","StartGame(string mapUID, WorldType type)",Game,0,2,2,2,1,54,23
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,InflateBlocks,Process(int r),"SwitchToExternalMod(ExternalMod mod, string[] launchArguments = null, Action onFailed = null)",Game,0,1,2,2,21,20,2
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,InflateCodes,"InflateFast(int bl, int bd, int[] tl, int tl_index, int[] td, int td_index, InflateBlocks s, ZlibCodec z)",TakeScreenshotInner(),Game,0,8,2,2,0,14,10
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,InflateManager,Inflate(FlushType flush),"GetFirstDuplicate(string name, Hotkey value, HotkeyDefinition definition)",HotkeyManager,0,1,2,2,0,9,5
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,InflateManager,Sync(),Sign(params string[] data),LocalPlayerProfile,0,0,0,0,1,9,5
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,ZlibBaseStream,Dispose(bool disposing),Dispose(),Manifest,0,1,2,2,2,18,1
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,ZlibBaseStream,"Read(System.Byte[] buffer, System.Int32 offset, System.Int32 count)",LoadCustomData(ObjectCreator oc),Manifest,0,3,2,2,1,18,1
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,ZlibBaseStream,"UncompressString(byte[] compressed, Stream decompressor)",ChooseRandomCell(MersenneTwister rand),Map,0,2,2,2,0,18,1
Long Method,MonoGame.Framework.iOS,MonoGame.Framework.Utilities.Deflate,ZlibCodec,flush_pending(),CancelInstall(),MapPreview,0,0,2,2,0,15,0
Long Method,MonoGame.Framework.iOS,MonoGame.OpenAL,AL,GetNativeLibrary(),"Install(string mapRepositoryUrl, Action onSuccess)",MapPreview,0,0,2,2,0,0,1
